Date	View_count	View_unique	Clone_count	Clone_unique
2018-05-08	6	3	0	0
2018-05-09	2	1	0	0
2018-05-17	2	1	0	0
2018-05-28	4	2	0	0
2018-06-11	0	0	0	0
2018-06-12	0	0	0	0
2018-06-13	0	0	0	0
2018-06-14	0	0	0	0
2018-06-15	0	0	0	0
2018-06-16	0	0	0	0
2018-06-17	0	0	0	0
2018-06-18	0	0	0	0
2018-06-19	0	0	0	0
2018-06-20	0	0	0	0
2018-06-21	0	0	0	0
2018-06-22	0	0	0	0
2018-06-23	0	0	0	0
2018-06-24	0	0	0	0
2018-06-25	0	0	0	0
2018-06-26	0	0	0	0
2018-06-27	0	0	0	0
2018-06-28	0	0	0	0
2018-06-29	0	0	0	0
2018-06-30	3	1	0	0
2018-07-13	0	0	0	0
2018-07-15	0	0	0	0
2018-07-16	0	0	0	0
2018-07-17	0	0	0	0
2018-07-18	0	0	0	0
2018-07-20	0	0	0	0
2018-07-21	0	0	0	0
2018-07-23	0	0	0	0
2018-07-24	0	0	0	0
2018-07-25	0	0	0	0
2018-07-27	0	0	0	0
2018-07-28	0	0	0	0
2018-07-30	0	0	0	0
2018-07-31	0	0	0	0
2018-08-01	0	0	0	0
2018-08-02	0	0	0	0
2018-08-03	0	0	0	0
2018-08-05	0	0	0	0
2018-08-06	0	0	0	0
2018-08-07	0	0	0	0
2018-08-08	27	2	1	1
2018-08-16	1	1	0	0
2018-08-20	1	1	0	0
2018-08-29	1	1	0	0
2018-08-31	1	1	0	0
2018-09-04	0	0	1	1
2018-09-13	9	1	0	0
2018-09-18	1	1	0	0
2018-09-19	16	1	0	0
2018-09-20	3	1	0	0
2018-09-23	1	1	0	0
2018-09-24	0	0	0	0
