Date	View_count	View_unique	Clone_count	Clone_unique
2017-12-27	2	2	0	0
2017-12-28	2	1	0	0
2018-01-10	1	1	0	0
2018-01-11	1	1	0	0
2018-01-17	2	1	0	0
2018-01-18	6	1	0	0
2018-01-19	1	1	0	0
2018-01-22	1	1	0	0
2018-01-26	0	0	0	0
2018-04-21	1	1	0	0
2018-04-23	1	1	0	0
2018-04-26	5	1	0	0
2018-04-27	1	1	0	0
2018-04-29	1	1	0	0
2018-05-02	1	1	0	0
2018-05-05	1	1	0	0
2018-05-09	1	1	0	0
2018-05-10	12	2	0	0
2018-05-11	5	2	0	0
2018-05-14	2	1	0	0
2018-05-23	1	1	0	0
2018-05-28	1	1	0	0
2018-06-01	2	1	0	0
2018-06-04	4	1	0	0
2018-06-12	2	1	0	0
2018-06-15	1	1	0	0
2018-06-18	13	3	0	0
2018-06-19	1	1	0	0
2018-06-22	4	1	0	0
2018-06-25	2	1	0	0
2018-06-29	0	0	1	1
2018-07-01	1	1	1	1
2018-07-02	1	1	0	0
2018-07-04	13	2	0	0
2018-07-09	1	1	0	0
2018-07-16	3	1	0	0
2018-07-23	1	1	0	0
2018-07-24	3	1	0	0
2018-07-25	1	1	0	0
2018-07-26	1	1	0	0
2018-07-27	1	1	0	0
2018-08-08	7	1	1	1
2018-08-09	0	0	1	1
2018-08-11	1	1	0	0
2018-08-12	8	1	0	0
2018-08-14	1	1	0	0
2018-08-20	1	1	0	0
2018-08-28	4	1	0	0
2018-08-30	1	1	0	0
2018-09-07	1	1	0	0
2018-09-13	1	1	0	0
2018-09-17	1	1	0	0
2018-09-24	0	0	0	0
2018-09-25	1	1	0	0
2018-09-27	1	1	0	0
2018-09-29	15	2	0	0
2018-10-01	2	1	0	0
2018-10-02	11	2	1	1
